iter: 1000, accuracy: 0.0137
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0175
iter: 4000, accuracy: 0.0375
iter: 5000, accuracy: 0.2096
iter: 6000, accuracy: 0.3277
iter: 7000, accuracy: 0.2392
iter: 8000, accuracy: 0.2622
iter: 9000, accuracy: 0.2726
iter: 10000, accuracy: 0.3098
iter: 11000, accuracy: 0.2418
iter: 12000, accuracy: 0.2801
iter: 13000, accuracy: 0.2886
iter: 14000, accuracy: 0.3420
iter: 15000, accuracy: 0.4093
iter: 16000, accuracy: 0.4487
iter: 17000, accuracy: 0.4495
iter: 18000, accuracy: 0.4502
iter: 19000, accuracy: 0.4943
iter: 20000, accuracy: 0.4946
iter: 21000, accuracy: 0.4924
iter: 22000, accuracy: 0.5061
iter: 23000, accuracy: 0.6087
iter: 24000, accuracy: 0.6058
iter: 25000, accuracy: 0.6041
iter: 26000, accuracy: 0.6034
iter: 27000, accuracy: 0.6029
iter: 28000, accuracy: 0.6001
iter: 29000, accuracy: 0.6027
iter: 30000, accuracy: 0.6031
