iter: 1000, accuracy: 0.0320
iter: 2000, accuracy: 0.0262
iter: 3000, accuracy: 0.0386
iter: 4000, accuracy: 0.2142
iter: 5000, accuracy: 0.2748
iter: 6000, accuracy: 0.1611
iter: 7000, accuracy: 0.1578
iter: 8000, accuracy: 0.2918
iter: 9000, accuracy: 0.2881
iter: 10000, accuracy: 0.3819
iter: 11000, accuracy: 0.2542
iter: 12000, accuracy: 0.2341
iter: 13000, accuracy: 0.3679
iter: 14000, accuracy: 0.3999
iter: 15000, accuracy: 0.3604
iter: 16000, accuracy: 0.4298
iter: 17000, accuracy: 0.3464
iter: 18000, accuracy: 0.3940
iter: 19000, accuracy: 0.4671
iter: 20000, accuracy: 0.5125
iter: 21000, accuracy: 0.4809
iter: 22000, accuracy: 0.5493
iter: 23000, accuracy: 0.5998
iter: 24000, accuracy: 0.6059
iter: 25000, accuracy: 0.6100
iter: 26000, accuracy: 0.6052
iter: 27000, accuracy: 0.6037
iter: 28000, accuracy: 0.5970
iter: 29000, accuracy: 0.5938
iter: 30000, accuracy: 0.5989
