iter: 1000, accuracy: 0.0098
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0106
iter: 5000, accuracy: 0.0274
iter: 6000, accuracy: 0.1647
iter: 7000, accuracy: 0.2772
iter: 8000, accuracy: 0.2660
iter: 9000, accuracy: 0.2448
iter: 10000, accuracy: 0.2936
iter: 11000, accuracy: 0.2634
iter: 12000, accuracy: 0.3027
iter: 13000, accuracy: 0.3973
iter: 14000, accuracy: 0.2961
iter: 15000, accuracy: 0.3742
iter: 16000, accuracy: 0.4177
iter: 17000, accuracy: 0.3850
iter: 18000, accuracy: 0.4042
iter: 19000, accuracy: 0.4234
iter: 20000, accuracy: 0.4636
iter: 21000, accuracy: 0.4683
iter: 22000, accuracy: 0.4863
iter: 23000, accuracy: 0.5418
iter: 24000, accuracy: 0.5352
iter: 25000, accuracy: 0.5336
iter: 26000, accuracy: 0.5294
iter: 27000, accuracy: 0.5277
iter: 28000, accuracy: 0.5188
iter: 29000, accuracy: 0.5191
iter: 30000, accuracy: 0.5098
