iter: 1000, accuracy: 0.0149
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0130
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0547
iter: 6000, accuracy: 0.1992
iter: 7000, accuracy: 0.2667
iter: 8000, accuracy: 0.2574
iter: 9000, accuracy: 0.2859
iter: 10000, accuracy: 0.3026
iter: 11000, accuracy: 0.2725
iter: 12000, accuracy: 0.2704
iter: 13000, accuracy: 0.2644
iter: 14000, accuracy: 0.2539
iter: 15000, accuracy: 0.2913
iter: 16000, accuracy: 0.3866
iter: 17000, accuracy: 0.3695
iter: 18000, accuracy: 0.3886
iter: 19000, accuracy: 0.4136
iter: 20000, accuracy: 0.4459
iter: 21000, accuracy: 0.4558
iter: 22000, accuracy: 0.4746
iter: 23000, accuracy: 0.5990
iter: 24000, accuracy: 0.6166
iter: 25000, accuracy: 0.6238
iter: 26000, accuracy: 0.6192
iter: 27000, accuracy: 0.6210
iter: 28000, accuracy: 0.6234
iter: 29000, accuracy: 0.6216
iter: 30000, accuracy: 0.6238
