iter: 1000, accuracy: 0.0380
iter: 2000, accuracy: 0.0340
iter: 3000, accuracy: 0.1844
iter: 4000, accuracy: 0.2222
iter: 5000, accuracy: 0.1531
iter: 6000, accuracy: 0.0657
iter: 7000, accuracy: 0.1305
iter: 8000, accuracy: 0.2621
iter: 9000, accuracy: 0.3133
iter: 10000, accuracy: 0.3667
iter: 11000, accuracy: 0.3734
iter: 12000, accuracy: 0.3858
iter: 13000, accuracy: 0.3015
iter: 14000, accuracy: 0.2610
iter: 15000, accuracy: 0.3727
iter: 16000, accuracy: 0.4283
iter: 17000, accuracy: 0.4583
iter: 18000, accuracy: 0.4064
iter: 19000, accuracy: 0.4486
iter: 20000, accuracy: 0.5501
iter: 21000, accuracy: 0.4938
iter: 22000, accuracy: 0.5719
iter: 23000, accuracy: 0.6472
iter: 24000, accuracy: 0.6527
iter: 25000, accuracy: 0.6565
iter: 26000, accuracy: 0.6576
iter: 27000, accuracy: 0.6579
iter: 28000, accuracy: 0.6562
iter: 29000, accuracy: 0.6569
iter: 30000, accuracy: 0.6571
