iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0112
iter: 4000, accuracy: 0.0101
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0105
iter: 7000, accuracy: 0.0155
iter: 8000, accuracy: 0.0100
iter: 9000, accuracy: 0.0100
iter: 10000, accuracy: 0.0257
iter: 11000, accuracy: 0.0146
iter: 12000, accuracy: 0.0253
iter: 13000, accuracy: 0.0182
iter: 14000, accuracy: 0.0208
iter: 15000, accuracy: 0.0099
iter: 16000, accuracy: 0.0100
iter: 17000, accuracy: 0.0110
iter: 18000, accuracy: 0.0157
iter: 19000, accuracy: 0.0216
iter: 20000, accuracy: 0.0188
iter: 21000, accuracy: 0.0201
iter: 22000, accuracy: 0.0212
iter: 23000, accuracy: 0.0361
iter: 24000, accuracy: 0.0417
iter: 25000, accuracy: 0.0479
iter: 26000, accuracy: 0.0459
iter: 27000, accuracy: 0.0458
iter: 28000, accuracy: 0.0397
iter: 29000, accuracy: 0.0395
iter: 30000, accuracy: 0.0425
