iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0100
iter: 7000, accuracy: 0.0105
iter: 8000, accuracy: 0.0502
iter: 9000, accuracy: 0.0478
iter: 10000, accuracy: 0.0632
iter: 11000, accuracy: 0.0895
iter: 12000, accuracy: 0.0548
iter: 13000, accuracy: 0.0782
iter: 14000, accuracy: 0.1050
iter: 15000, accuracy: 0.0529
iter: 16000, accuracy: 0.1420
iter: 17000, accuracy: 0.1189
iter: 18000, accuracy: 0.1235
iter: 19000, accuracy: 0.1217
iter: 20000, accuracy: 0.1358
iter: 21000, accuracy: 0.1410
iter: 22000, accuracy: 0.1427
iter: 23000, accuracy: 0.1745
iter: 24000, accuracy: 0.1768
iter: 25000, accuracy: 0.1780
iter: 26000, accuracy: 0.1779
iter: 27000, accuracy: 0.1800
iter: 28000, accuracy: 0.1789
iter: 29000, accuracy: 0.1787
iter: 30000, accuracy: 0.1755
