iter: 1000, accuracy: 0.0165
iter: 2000, accuracy: 0.0144
iter: 3000, accuracy: 0.0328
iter: 4000, accuracy: 0.0538
iter: 5000, accuracy: 0.0390
iter: 6000, accuracy: 0.0611
iter: 7000, accuracy: 0.0639
iter: 8000, accuracy: 0.1021
iter: 9000, accuracy: 0.0616
iter: 10000, accuracy: 0.0887
iter: 11000, accuracy: 0.1094
iter: 12000, accuracy: 0.1377
iter: 13000, accuracy: 0.1102
iter: 14000, accuracy: 0.0649
iter: 15000, accuracy: 0.0781
iter: 16000, accuracy: 0.2096
iter: 17000, accuracy: 0.1640
iter: 18000, accuracy: 0.1704
iter: 19000, accuracy: 0.1751
iter: 20000, accuracy: 0.2014
iter: 21000, accuracy: 0.1966
iter: 22000, accuracy: 0.1914
iter: 23000, accuracy: 0.2527
iter: 24000, accuracy: 0.2598
iter: 25000, accuracy: 0.2654
iter: 26000, accuracy: 0.2595
iter: 27000, accuracy: 0.2607
iter: 28000, accuracy: 0.2614
iter: 29000, accuracy: 0.2544
iter: 30000, accuracy: 0.2568
