iter: 1000, accuracy: 0.0217
iter: 2000, accuracy: 0.0491
iter: 3000, accuracy: 0.1646
iter: 4000, accuracy: 0.1351
iter: 5000, accuracy: 0.1476
iter: 6000, accuracy: 0.2608
iter: 7000, accuracy: 0.3135
iter: 8000, accuracy: 0.2148
iter: 9000, accuracy: 0.3955
iter: 10000, accuracy: 0.3054
iter: 11000, accuracy: 0.3978
iter: 12000, accuracy: 0.3276
iter: 13000, accuracy: 0.4222
iter: 14000, accuracy: 0.4366
iter: 15000, accuracy: 0.2739
iter: 16000, accuracy: 0.4858
iter: 17000, accuracy: 0.4771
iter: 18000, accuracy: 0.4680
iter: 19000, accuracy: 0.4931
iter: 20000, accuracy: 0.5305
iter: 21000, accuracy: 0.5539
iter: 22000, accuracy: 0.5758
iter: 23000, accuracy: 0.6569
iter: 24000, accuracy: 0.6689
iter: 25000, accuracy: 0.6723
iter: 26000, accuracy: 0.6714
iter: 27000, accuracy: 0.6718
iter: 28000, accuracy: 0.6675
iter: 29000, accuracy: 0.6691
iter: 30000, accuracy: 0.6681
